Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
"Mera-Intriago, Eva",57220743753,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Pambabay-Calero, Johny J.",57204282340,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Ramirez-Figueroa, John A.",57219737034,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Suárez, Carlos Aníbal",57214464475,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Galarza, Christian E.",57147632900,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Del Rosario, Edison",57193238379,,ESPOL,Unidades Académicas,FCNM,Logística,,,,,,,
"Cabezas, Xavier",57219461911,,ESPOL,Unidades Académicas,FCNM,Logística,,,,,,,
"Delgado, Erwin",57226779473,,ESPOL,Unidades Académicas,FCNM,Logística,,,,,,,
"Martin-Barreiro, Carlos",57219733203,,ESPOL,Unidades Académicas,FCNM,Logística,,,,,,,
"Sandoya, Fernando",55208161800,,ESPOL,Unidades Académicas,FCNM,Logística,,,,,,,
"Mancero-Mosquera, Isaac",6506518022,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Álvarez, Illych",57220077305,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Chong, Antonio S.E.",57193308677,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Marchan, Luz Elimar",55256270300,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Angulo, Wilfredo",57209241614,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Aponte, J.",57195741207,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Aponte, Elvis",35279454600,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Bracamonte, Mireya",56046511200,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"de Cecchis, Dany",26025935500,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Mejías, Fernando",57219099296,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Páez Chávez, Joseph",57203173715,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Pérez, Liliana",51864408100,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Pineda, Ebner",23978476100,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Quiroz, Domingo",8715862300,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Rodriguez, Luz",57222023541,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Vielma, Jorge",11739250600,,ESPOL,Unidades Académicas,FCNM,Matemática,,,,,,,
"Velasco-Galarza, Víctor",57211136169,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Zambrano, D.",56990849300,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Guarochico-Moreira, Víctor",57200414518,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Gutiérrez M., Esther D.",55801443700,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Iza, P.",12144062100,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Lamilla-Rubio, Erick A.",57224171697,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Pazmiño, Arturo",56816750600,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Plaza, Eric",36987075800,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"López, Alexander",15822529800,,ESPOL,Unidades Académicas,FCNM,Física,,,,,,,
"Almeida-Guerra, Paola",7801582875,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Aponte, J.",57195741207,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Atencio, Reinaldo",55880919000,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Domínguez-Granda, Luis",6505735502,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Galarza, Christian E.",57147632900,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"García-Bustos, Sandra",55553022100,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"González, Y. K.",57218539543,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Matamoros, David E.",12141256000,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Morante, Fernando E.",23568713200,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Mosquera-Romero, Suanny",57230375500,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Salas, Santiago D.",57132394000,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Tinoco, Diana L.",57115228200,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Vera-Villalobos, Joan",36678130400,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Vielma, Joel E.",48661504200,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"de Lourdes Mendoza, Ma",56572784400,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Pacheco, Yesenia",57214447450,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
"Santos-Torres, Myrian",57219452230,,ESPOL,Unidades Académicas,FCNM,Química,,,,,,,
